adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/kqHypb4MdEBUFiphf49bK99T4cn.jpg,"[878, 53]",755898,en,War of the Worlds,"Will Radford is a top analyst for Homeland Security who tracks potential threats through a mass surveillance program, until one day an attack by an unknown entity leads him to question whether the government is hiding something from him... and from the rest of the world.",1424.9857,/yvirUYrva23IudARHn3mMGVxWqM.jpg,2025-07-29,War of the Worlds,False,4.194,322
False,/fncHijpWjitFBmj7SX5z148XEhP.jpg,"[878, 12, 28]",1234821,en,Jurassic World Rebirth,"Five years after the events of Jurassic World Dominion, covert operations expert Zora Bennett is contracted to lead a skilled team on a top-secret mission to secure genetic material from the world's three most massive dinosaurs. When Zora's operation intersects with a civilian family whose boating expedition was capsized, they all find themselves stranded on an island where they come face-to-face with a sinister, shocking discovery that's been hidden from the world for decades.",736.3455,/1RICxzeoNCAO5NpcRMIgg1XT6fm.jpg,2025-07-01,Jurassic World Rebirth,False,6.376,1548
False,/yRBc6WY3r1Fz5Cjd6DhSvzqunED.jpg,"[878, 12, 28]",1061474,en,Superman,"Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.",579.271,/ombsmhYUqR4qqOLOxAyr5V8hbyv.jpg,2025-07-09,Superman,False,7.7,1858
False,/ySHUoK4utUOiSfCinw81H1TsV0E.jpg,"[878, 28, 27]",1241470,en,Osiris,"Special Forces commandos on a mission are abducted mid-operation by a mysterious spacecraft. Upon waking aboard, they find themselves prey to a relentless alien race in a fight for survival.",432.4792,/3YtZHtXPNG5AleisgEatEfZOT2w.jpg,2025-07-25,Osiris,False,6.435,54
False,/bP6BqIljp4a3BqhxN7YPckcpKI.jpg,"[28, 18, 36]",1195631,en,William Tell,"The narrative unfolds in the 14th Century, when the European nations vie for supremacy within the Holy Roman Empire. The ambitious Austrian Empire, desiring more land, invades neighbouring Switzerland, a serene and pastoral nation. Protagonist William Tell, a formerly peaceful hunter, finds himself forced to take action as his family and homeland come under threat from the oppressive Austrian King and his ruthless warlords.",406.1768,/8SdaetXSTPyQVDb5pTEPRLBSx15.jpg,2025-01-17,William Tell,False,6.306,98
False,/7A3ru3bxmWtyF0ep0CJcLLzWT35.jpg,"[28, 18, 36]",1185528,zh,射雕英雄传：侠之大者,"Under Genghis Khan, the Mongolian army pushes west to destroy the Jin Dynasty, setting its sights on the Song Dynasty next. Amid internal conflicts among martial arts schools, Guo Jing unites the Central Plains' warriors to defend Xiangyang, embodying courage and loyalty in the fight for the nation.",324.5261,/fUCFEGFlMIFet9ja72JDAeG1he8.jpg,2025-01-29,Legends of the Condor Heroes: The Gallants,False,6.41,39
False,/1RgPyOhN4DRs225BGTlHJqCudII.jpg,"[16, 28, 14, 53]",1311031,ja,劇場版「鬼滅の刃」無限城編 第一章 猗窩座再来,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",309.9512,/aFRDH3P7TX61FVGpaLhKr6QiOC1.jpg,2025-07-18,Demon Slayer: Kimetsu no Yaiba Infinity Castle,False,7.2,73
False,/nZsKWhwhUL3Eg88SkIaJjuIZzpN.jpg,"[28, 35, 53]",1319895,en,Hostile Takeover,"Follows Pete, a professional hitman, as he faces a group of assassins after the boss of a crime syndicate suspects disloyalty due to his attendance at Workaholics Anonymous meetings.",304.933,/vntwlS3CAKfoLTs90GaoK6lymBC.jpg,2025-08-08,Hostile Takeover,False,7.313,8
False,/7HqLLVjdjhXS0Qoz1SgZofhkIpE.jpg,"[14, 10751, 28, 12]",1087192,en,How to Train Your Dragon,"On the rugged isle of Berk, where Vikings and dragons have been bitter enemies for generations, Hiccup stands apart, defying centuries of tradition when he befriends Toothless, a feared Night Fury dragon. Their unlikely bond reveals the true nature of dragons, challenging the very foundations of Viking society.",287.6931,/q5pXRYTycaeW6dEgsCrd4mYPmxM.jpg,2025-06-06,How to Train Your Dragon,False,8.0,1615
False,/y7tjLYcq2ZGy2DNG0ODhGX9Tm60.jpg,"[28, 35, 80]",1106289,en,The Pickup,A routine cash pickup takes a wild turn when mismatched armored truck drivers Russell and Travis are ambushed by ruthless criminals led by savvy mastermind Zoe.,280.7684,/vFWvWhfAvij8UIngg2Vf6JV95Cr.jpg,2025-07-27,The Pickup,False,6.584,237
False,/eDVp3J8HqkXXMagnVKlm53dYJvJ.jpg,"[10752, 28]",1285247,en,Murder Company,"In the midst of the D-Day invasion, a group of US soldiers are given orders to smuggle a member of the French Resistance behind enemy lines to assassinate a high-value Nazi target.",265.5345,/eUjzUUFm1dEUR6U4r0C6s9L2FEd.jpg,2024-07-05,Murder Company,False,5.6,17
